Severity,Start_Lat,Start_Lng,Start_Time,Hour,DayOfWeek,Month,Weather_Group,City,Temperature(F),Visibility(mi),Humidity(%),Wind_Speed(mph)
2,29.398545,-98.474246,2020-11-21 02:34:16,2,Saturday,11,Cloudy,San Antonio,58.0,10.0,100.0,0.0
2,29.66429500000001,-95.463982,2020-11-30 07:26:55,7,Monday,11,Clear,Houston,45.0,10.0,56.0,16.0
2,32.943922,-96.904294,2021-06-21 19:29:00,19,Monday,6,Cloudy,Carrollton,77.0,13.0,61.0,15.0
2,32.894455,-96.73101,2017-09-13 07:27:48,7,Wednesday,9,Cloudy,Dallas,68.0,10.0,70.0,
2,30.36075,-98.040024,2020-09-04 07:34:02,7,Friday,9,Storm,Spicewood,72.0,5.0,98.0,6.0
2,30.355481,-97.68927,2021-07-31 21:22:00,21,Saturday,7,Clear,Austin,88.0,10.0,55.0,3.0
2,31.726673,-106.26748700000002,2019-04-22 07:26:23,7,Monday,4,Cloudy,El Paso,66.0,10.0,30.0,0.0
2,32.754121999999995,-96.858415,2022-12-02 16:33:59,16,Friday,12,Cloudy,Dallas,63.0,10.0,87.0,13.0
2,32.913036,-96.873199,2018-08-17 05:51:04,5,Friday,8,Clear,Dallas,82.4,10.0,62.0,9.2
2,30.40565800000001,-97.628378,2020-11-15 02:20:00,2,Sunday,11,Cloudy,Pflugerville,68.0,10.0,94.0,0.0
2,30.40948033318325,-97.64864087058235,2021-10-22 15:28:00,15,Friday,10,Clear,Austin,85.0,10.0,46.0,3.0
3,29.774387,-95.315201,2016-11-21 12:38:17,12,Monday,11,Clear,Houston,73.4,10.0,44.0,10.4
2,30.013506,-95.590767,2020-08-28 19:16:31,19,Friday,8,Other,Tomball,77.0,10.0,76.0,15.0
2,30.284389,-97.721863,2017-03-19 19:47:50,19,Sunday,3,Clear,Austin,77.0,10.0,54.0,3.5
2,29.57675,-98.478194,2021-01-22 02:18:30,2,Friday,1,Cloudy,San Antonio,52.0,10.0,93.0,0.0
2,32.861103,-96.874207,2017-03-30 21:45:26,21,Thursday,3,Cloudy,Dallas,69.1,10.0,45.0,5.8
2,29.818671,-95.265673,2022-03-19 19:32:51,19,Saturday,3,Clear,Houston,68.0,10.0,26.0,7.0
2,29.764205,-95.213036,2021-03-12 05:41:00,5,Friday,3,Cloudy,Houston,71.0,8.0,87.0,8.0
2,33.003502000000005,-96.708839,2020-12-24 08:22:03,8,Thursday,12,Clear,Plano,32.0,10.0,51.0,6.0
2,30.215219,-97.768814,2018-11-09 16:21:27,16,Friday,11,Clear,Austin,59.0,10.0,48.0,15.0
2,32.924747,-96.798807,2021-11-28 18:02:30,18,Sunday,11,Clear,Dallas,59.0,13.0,42.0,3.0
2,29.520399,-98.47979,2016-07-13 11:32:33,11,Wednesday,7,Cloudy,San Antonio,91.0,10.0,53.0,15.0
2,32.923908000000004,-96.764305,2018-02-23 04:09:00,4,Friday,2,Rain,Dallas,38.3,4.0,93.0,3.5
2,32.85485,-97.31282,2016-12-13 14:22:45,14,Tuesday,12,Other,Fort Worth,,,,
2,29.674219,-95.570412,2020-06-03 10:29:27,10,Wednesday,6,Cloudy,Houston,83.0,10.0,79.0,0.0
3,29.584570000000006,-95.64246,2016-12-07 16:57:57,16,Wednesday,12,Cloudy,Sugar Land,57.0,4.0,89.0,8.1
2,32.819091,-96.755969,2023-01-14 14:52:47,14,Saturday,1,Cloudy,Dallas,62.0,10.0,26.0,15.0
2,32.748833000000005,-96.918655,2019-07-23 06:46:26,6,Tuesday,7,Clear,Dallas,74.0,10.0,64.0,9.0
2,29.578241,-98.441826,2018-08-27 07:50:30,7,Monday,8,Cloudy,San Antonio,79.0,10.0,79.0,10.4
2,29.87115,-95.550209,2020-10-17 06:23:34,6,Saturday,10,Cloudy,Houston,61.0,10.0,64.0,6.0
3,32.674194,-97.378845,2020-10-22 12:30:21,12,Thursday,10,Cloudy,Fort Worth,82.0,10.0,58.0,14.0
2,30.353536,-97.797902,2023-01-31 08:07:00,8,Tuesday,1,Cloudy,Austin,30.0,9.0,92.0,8.0
2,29.670702,-95.461815,2019-05-06 09:12:42,9,Monday,5,Cloudy,Houston,73.0,10.0,79.0,6.0
2,30.21944,-97.692062,2020-01-10 07:41:06,7,Friday,1,Cloudy,Austin,72.0,10.0,76.0,13.0
2,32.73636,-97.06231,2017-07-24 07:27:46,7,Monday,7,Cloudy,Arlington,73.4,10.0,100.0,6.9
3,32.681583,-96.744484,2017-08-12 14:22:14,14,Saturday,8,Cloudy,Dallas,93.0,10.0,56.0,4.6
3,33.208321000000005,-97.163033,2021-06-14 08:24:10,8,Monday,6,Clear,Denton,84.0,10.0,74.0,5.0
2,32.953367,-96.910502,2022-08-10 06:10:30,6,Wednesday,8,Clear,Carrollton,79.0,13.0,74.0,3.0
2,30.096775,-97.814495,2022-08-02 06:09:30,6,Tuesday,8,Clear,Buda,74.0,10.0,93.0,5.0
2,29.698891,-95.497102,2020-09-24 01:01:00,1,Thursday,9,Cloudy,Houston,73.0,10.0,81.0,8.0
3,29.757704,-95.374779,2020-07-12 15:40:18,15,Sunday,7,Cloudy,Houston,94.0,10.0,51.0,5.0
2,29.548866,-98.488197,2020-11-03 09:47:31,9,Tuesday,11,Cloudy,San Antonio,66.0,10.0,48.0,6.0
3,29.704424,-95.513275,2016-11-21 14:18:02,14,Monday,11,Clear,Houston,75.2,10.0,44.0,10.4
2,30.150436,-97.833191,2018-03-30 12:19:24,12,Friday,3,Cloudy,Austin,66.9,10.0,52.0,13.8
2,29.950327,-95.533546,2020-07-29 14:02:19,14,Wednesday,7,Rain,Houston,76.0,7.0,87.0,5.0
2,30.168067,-97.647674,2022-09-16 15:32:15,15,Friday,9,Cloudy,Del Valle,92.0,10.0,45.0,5.0
2,29.738558,-95.410702,2022-03-10 15:09:30,15,Thursday,3,Clear,Houston,70.0,10.0,39.0,9.0
2,32.748847999999995,-96.91864,2022-04-25 04:09:45,4,Monday,4,Storm,Dallas,59.0,6.0,93.0,9.0
3,30.283005,-97.726921,2017-12-04 18:48:03,18,Monday,12,Cloudy,Austin,77.0,10.0,62.0,
2,30.269541,-97.740807,2019-07-09 17:42:06,17,Tuesday,7,Clear,Austin,95.0,10.0,49.0,0.0
2,29.703707,-95.587852,2017-10-10 11:42:06,11,Tuesday,10,Cloudy,Houston,75.0,10.0,57.0,12.7
2,29.78412100000001,-95.654875,2021-11-20 20:25:47,20,Saturday,11,Clear,Houston,68.0,10.0,84.0,10.0
2,32.791374,-96.749667,2022-10-02 05:20:30,5,Sunday,10,Clear,Dallas,59.0,10.0,64.0,0.0
3,29.48439,-98.403183,2021-05-26 17:35:08,17,Wednesday,5,Cloudy,San Antonio,87.0,10.0,63.0,9.0
2,30.253904,-97.712395,2017-07-10 09:18:27,9,Monday,7,Clear,Austin,82.0,10.0,62.0,4.6
2,32.821062,-96.788409,2017-03-02 10:21:49,10,Thursday,3,Cloudy,Dallas,57.0,10.0,21.0,9.2
2,29.730891,-95.384333,2022-07-25 18:02:43,18,Monday,7,Cloudy,Houston,93.0,10.0,49.0,14.0
2,32.931305,-96.71109,2022-01-05 08:18:05,8,Wednesday,1,Clear,Richardson,43.0,13.0,81.0,7.0
2,29.688042,-95.574661,2018-03-20 15:16:21,15,Tuesday,3,Clear,Houston,69.1,10.0,35.0,15.0
2,30.289301,-97.723427,2019-12-19 07:29:02,7,Thursday,12,Snow,Austin,32.0,10.0,85.0,0.0
2,30.248423,-97.769989,2018-05-04 19:23:06,19,Friday,5,Rain,Austin,64.9,7.0,93.0,3.5
2,29.679138,-95.484234,2022-10-04 23:25:07,23,Tuesday,10,Cloudy,Houston,71.0,10.0,66.0,0.0
2,32.718454,-96.759048,2021-01-07 18:04:28,18,Thursday,1,Cloudy,Dallas,47.0,10.0,63.0,7.0
2,29.722105,-95.539116,2020-08-19 04:20:11,4,Wednesday,8,Clear,Houston,79.0,10.0,77.0,3.0
2,30.51949500000001,-97.820549,2020-09-21 07:39:18,7,Monday,9,Rain,Cedar Park,65.0,4.0,96.0,7.0
2,32.69128,-96.88741,2017-03-01 08:54:45,8,Wednesday,3,Clear,Dallas,54.0,10.0,43.0,20.7
3,29.520662,-98.499367,2017-09-24 10:37:11,10,Sunday,9,Cloudy,San Antonio,84.0,10.0,67.0,12.7
2,32.794061,-96.81252,2021-09-27 17:13:53,17,Monday,9,Cloudy,Dallas,87.0,10.0,32.0,8.0
2,32.712898,-96.691574,2018-11-15 06:49:19,6,Thursday,11,Clear,Dallas,28.4,10.0,93.0,3.5
3,32.87254,-97.31656,2019-03-27 06:18:56,6,Wednesday,3,Other,Fort Worth,,,,
2,30.32996,-97.605492,2020-09-11 07:10:24,7,Friday,9,Cloudy,Austin,64.0,10.0,90.0,7.0
2,29.597771,-95.386536,2020-08-23 06:01:34,6,Sunday,8,Cloudy,Houston,77.0,10.0,82.0,3.0
3,32.706340999999995,-96.623535,2022-04-13 08:54:01,8,Wednesday,4,Other,Balch Springs,72.0,3.0,94.0,29.0
2,29.71546,-95.60463,2019-10-22 09:50:50,9,Tuesday,10,Clear,Houston,70.0,10.0,46.0,6.0
2,30.235477000000003,-97.852383,2023-01-26 12:07:00,12,Thursday,1,Clear,Austin,53.0,10.0,43.0,
2,29.526239,-95.38707,2017-11-22 12:30:07,12,Wednesday,11,Cloudy,Manvel,67.8,10.0,56.0,6.9
2,32.877621000000005,-96.88459,2020-10-22 04:04:35,4,Thursday,10,Clear,Dallas,72.0,10.0,78.0,8.0
2,33.883239,-98.52844,2021-07-25 01:03:00,1,Sunday,7,Clear,Wichita Falls,80.0,10.0,65.0,7.0
3,32.87835,-96.68734,2017-01-26 09:33:07,9,Thursday,1,Cloudy,Dallas,42.1,10.0,47.0,10.4
2,30.027722,-97.688716,2023-01-26 06:22:00,6,Thursday,1,Cloudy,Buda,32.0,10.0,92.0,3.0
3,32.782089,-96.769913,2016-10-21 11:15:52,11,Friday,10,Clear,Dallas,64.9,10.0,47.0,6.9
2,32.676506,-96.857071,2020-09-02 18:24:39,18,Wednesday,9,Clear,Dallas,76.0,10.0,79.0,7.0
3,32.925682,-96.803711,2019-01-12 09:15:32,9,Saturday,1,Cloudy,Dallas,44.6,10.0,71.0,13.8
2,29.86755,-95.552544,2019-06-13 09:10:48,9,Thursday,6,Clear,Houston,79.0,10.0,56.0,8.0
2,30.160624,-97.769646,2016-10-27 17:45:30,17,Thursday,10,Cloudy,Austin,84.0,10.0,46.0,8.1
2,30.288076,-97.746765,2016-09-30 13:07:03,13,Friday,9,Clear,Austin,75.0,10.0,41.0,
2,31.771704,-106.474342,2019-10-31 16:57:29,16,Thursday,10,Clear,El Paso,57.0,10.0,11.0,8.0
2,30.18589,-97.816338,2020-12-16 06:43:35,6,Wednesday,12,Clear,Austin,37.0,10.0,59.0,5.0
3,32.935265,-97.008148,2016-10-11 09:43:18,9,Tuesday,10,Cloudy,Coppell,70.0,10.0,51.0,9.2
2,32.850548,-96.569794,2022-02-08 13:06:30,13,Tuesday,2,Clear,Garland,63.0,10.0,24.0,10.0
2,30.241011,-97.688881,2016-06-27 13:35:00,13,Monday,6,Cloudy,Austin,91.0,10.0,44.0,6.9
2,32.799137,-96.782934,2022-09-16 15:40:12,15,Friday,9,Cloudy,Dallas,90.0,10.0,46.0,9.0
3,29.808546000000003,-95.329399,2021-06-21 14:49:06,14,Monday,6,Cloudy,Houston,92.0,10.0,59.0,14.0
3,32.684658,-96.822945,2021-09-16 11:12:55,11,Thursday,9,Clear,Dallas,81.0,10.0,58.0,8.0
3,30.021311,-95.428329,2017-05-01 18:00:58,18,Monday,5,Cloudy,Houston,87.1,10.0,29.0,9.2
2,32.924992,-96.838608,2016-08-04 18:59:44,18,Thursday,8,Clear,Dallas,98.6,13.0,30.0,12.7
3,32.88113,-96.89814,2021-12-12 16:55:31,16,Sunday,12,Clear,Dallas,56.0,10.0,33.0,10.0
2,32.83849,-97.060013,2018-10-18 06:54:51,6,Thursday,10,Cloudy,Irving,55.9,10.0,84.0,8.1
2,30.170465000000004,-97.786609,2021-07-02 14:50:56,14,Friday,7,Clear,Austin,94.0,10.0,43.0,0.0
2,30.069882,-95.435238,2022-05-20 14:20:50,14,Friday,5,Cloudy,Spring,91.0,10.0,48.0,15.0
3,32.675315999999995,-97.166664,2018-11-12 16:48:58,16,Monday,11,Cloudy,Arlington,37.9,10.0,83.0,20.7
2,29.597004,-95.4785,2018-11-12 05:54:09,5,Monday,11,Rain,Houston,54.7,3.0,99.0,6.9
2,29.65325,-95.446587,2019-06-20 13:36:30,13,Thursday,6,Cloudy,Houston,93.0,10.0,57.0,13.0
2,29.60898,-95.20888,2017-05-31 15:15:25,15,Wednesday,5,Cloudy,Houston,87.1,10.0,59.0,8.1
2,29.568922,-98.392319,2016-08-01 11:22:29,11,Monday,8,Cloudy,San Antonio,89.1,10.0,52.0,9.2
2,32.668162,-97.234835,2022-12-20 07:47:00,7,Tuesday,12,Cloudy,Fort Worth,43.0,3.0,100.0,8.0
2,29.697741,-95.411789,2019-04-25 10:26:57,10,Thursday,4,Clear,Houston,75.0,10.0,55.0,13.0
2,29.356705,-98.503899,2017-12-01 12:18:59,12,Friday,12,Clear,San Antonio,75.0,10.0,36.0,
2,32.647575,-96.857056,2018-06-29 16:57:10,16,Friday,6,Other,Dallas,,,,
3,32.83205,-96.631775,2016-12-03 13:08:39,13,Saturday,12,Cloudy,Mesquite,48.2,7.0,100.0,
3,30.447041,-97.667595,2018-09-20 08:19:18,8,Thursday,9,Cloudy,Austin,75.2,6.0,100.0,3.5
3,33.173874,-97.090523,2018-11-02 07:06:16,7,Friday,11,Clear,Denton,44.1,10.0,85.0,3.5
2,32.774799,-96.749969,2019-11-21 08:27:23,8,Thursday,11,Cloudy,Dallas,69.0,9.0,87.0,9.0
2,29.832712,-95.509575,2017-03-22 10:16:55,10,Wednesday,3,Cloudy,Houston,75.2,10.0,69.0,5.8
2,32.851177,-96.813126,2018-08-22 17:47:19,17,Wednesday,8,Cloudy,Dallas,93.9,10.0,37.0,6.9
2,32.659526,-97.269914,2022-04-07 08:21:30,8,Thursday,4,Clear,Forest Hill,55.0,7.0,38.0,8.0
3,33.209789,-97.164742,2021-07-09 07:46:35,7,Friday,7,Clear,Denton,77.0,10.0,84.0,6.0
2,29.828966,-95.563688,2022-04-07 15:12:00,15,Thursday,4,Clear,Houston,76.0,10.0,15.0,20.0
2,32.68557,-96.736343,2021-11-10 05:08:25,5,Wednesday,11,Cloudy,Dallas,59.0,10.0,93.0,10.0
2,32.734325,-96.871567,2017-05-10 16:44:20,16,Wednesday,5,Cloudy,Dallas,78.1,10.0,74.0,12.7
3,30.358187,-97.688095,2018-12-11 21:55:14,21,Tuesday,12,Clear,Austin,52.0,10.0,77.0,4.6
3,29.809132,-95.440079,2018-03-13 16:04:06,16,Tuesday,3,Clear,Houston,69.8,10.0,23.0,
2,32.791051,-96.757002,2022-11-24 04:11:00,4,Thursday,11,Cloudy,Dallas,54.0,3.0,97.0,3.0
3,29.771128000000004,-96.036041,2017-06-30 12:49:02,12,Friday,6,Clear,Brookshire,91.4,7.0,63.0,18.4
2,32.782996999999995,-96.901436,2017-07-24 21:18:15,21,Monday,7,Cloudy,Dallas,86.0,10.0,65.0,15.0
3,32.924171,-96.762367,2021-04-16 08:10:16,8,Friday,4,Cloudy,Dallas,59.0,7.0,94.0,9.0
2,30.176554,-97.833992,2018-03-07 07:08:43,7,Wednesday,3,Cloudy,Austin,48.0,10.0,36.0,16.1
2,32.792951,-96.727549,2017-01-05 04:47:19,4,Thursday,1,Cloudy,Dallas,36.0,9.0,86.0,4.6
2,31.89368,-102.33309,2023-03-28 22:38:00,22,Tuesday,3,Cloudy,Odessa,56.0,10.0,19.0,15.0
2,29.728553,-95.391046,2022-08-18 07:55:14,7,Thursday,8,Cloudy,Houston,81.0,10.0,88.0,3.0
2,32.804790000000004,-96.735497,2019-09-16 17:19:15,17,Monday,9,Cloudy,Dallas,95.0,10.0,36.0,10.0
2,29.825697,-95.383942,2017-06-10 14:04:59,14,Saturday,6,Cloudy,Houston,86.0,10.0,51.0,15.0
2,29.77328,-95.58296,2020-12-13 17:01:47,17,Sunday,12,Cloudy,Houston,56.0,10.0,80.0,16.0
2,29.77503,-95.431686,2017-01-24 21:02:55,21,Tuesday,1,Cloudy,Houston,68.0,9.0,88.0,16.1
2,32.708714,-96.657043,2018-10-18 16:55:40,16,Thursday,10,Cloudy,Dallas,64.4,10.0,64.0,6.9
2,30.261858,-97.713295,2016-07-07 18:55:18,18,Thursday,7,Clear,Austin,93.9,10.0,47.0,11.5
3,29.67921,-95.44543,2020-03-24 09:30:20,9,Tuesday,3,Cloudy,Houston,77.0,9.0,74.0,12.0
3,32.864262,-96.661682,2019-01-24 09:25:06,9,Thursday,1,Clear,Garland,39.2,10.0,65.0,
2,29.779163,-95.547783,2018-05-09 13:09:32,13,Wednesday,5,Cloudy,Houston,87.8,10.0,33.0,
2,30.457605,-97.834412,2016-12-14 09:11:46,9,Wednesday,12,Clear,Austin,44.6,10.0,79.0,
2,29.744303,-95.362228,2018-08-17 10:21:33,10,Friday,8,Cloudy,Houston,86.0,9.0,70.0,8.1
2,30.268709,-97.745209,2019-11-15 13:51:50,13,Friday,11,Clear,Austin,62.0,10.0,34.0,5.0
2,29.728038,-95.537249,2022-01-19 16:28:39,16,Wednesday,1,Cloudy,Houston,76.0,10.0,64.0,20.0
2,29.749689,-95.369392,2019-09-23 15:50:28,15,Monday,9,Cloudy,Houston,86.0,10.0,67.0,13.0
2,32.918331,-96.76651,2019-03-22 07:26:45,7,Friday,3,Clear,Dallas,53.6,10.0,54.0,9.2
2,32.80563,-96.790619,2017-04-16 16:08:51,16,Sunday,4,Cloudy,Dallas,81.0,10.0,54.0,11.5
3,29.606747,-95.205582,2021-10-27 07:57:41,7,Wednesday,10,Cloudy,Houston,79.0,8.0,84.0,8.0
2,30.354488,-97.704056,2017-12-06 17:12:08,17,Wednesday,12,Rain,Austin,41.0,10.0,89.0,6.9
2,32.84576,-96.813965,2016-11-21 20:02:44,20,Monday,11,Cloudy,Dallas,66.9,10.0,57.0,12.7
2,30.318581,-97.661149,2021-10-22 13:12:00,13,Friday,10,Cloudy,Austin,81.0,10.0,60.0,7.0
3,29.698940000000004,-95.28328,2018-11-11 06:49:56,6,Sunday,11,Cloudy,Houston,50.0,10.0,80.0,8.1
3,29.439716,-98.48201,2017-11-30 07:17:58,7,Thursday,11,Cloudy,San Antonio,52.0,10.0,77.0,3.5
2,29.734694,-95.588692,2018-06-26 08:16:08,8,Tuesday,6,Clear,Houston,82.9,10.0,82.0,9.2
2,33.006599,-96.857327,2022-09-11 22:04:44,22,Sunday,9,Clear,Dallas,74.0,10.0,51.0,5.0
3,32.869305,-96.669968,2019-12-28 13:29:08,13,Saturday,12,Rain,Dallas,67.0,3.0,87.0,17.0
2,29.68889,-95.58757,2020-05-25 16:33:50,16,Monday,5,Clear,Houston,83.0,10.0,60.0,8.0
2,30.259324,-97.692602,2022-12-17 15:56:00,15,Saturday,12,Clear,Austin,56.0,10.0,26.0,5.0
2,31.756325,-106.342186,2017-09-27 04:27:01,4,Wednesday,9,Other,El Paso,61.0,10.0,93.0,6.9
